cause	type	doc_id	category	trick	checksum	residual	text
case	PER	agency_0008__m2718_case	adversarial	mut:case		hidden	лЕбЕдЕв еГоР АлЕкСеЕвИч
case	PER	agency_0008__m2718_case	adversarial	mut:case		hidden	сЕмЁнОв сЕрГеЙ ЕгОрОвИч
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	ЕРШОВА ТАТЬЯНА ДМИТРИЕВНА
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	ЕРШОВА ТА​ТЬЯНА ДМИ ТРИЕВНА
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	ершова т. д.
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	ершова татьяна дмитриевна
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	ершовой татьяне дмитриевне
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	н. н. павлов
case	PER	agency_0009__m2718_case	adversarial	mut:case		LEAK	павлов н. н.
case	PER	agency_0009__m2718_case	adversarial	mut:case		hidden	ПАВЛОВА НИКОЛАЯ НИКОЛАЕВИЧА
case	PER	agency_0010	adversarial	lowercase		LEAK	поповым олегом олеговичем
case	PER	agency_0010__m1337_case	adversarial	lowercase		LEAK	поповым олегом олеговичем
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	МОРОЗОВА ЕКАТЕРИНА ОЛЕГОВНА
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	МОРОЗОВА ЕКАТЕРИНА ОЛЕГОВНА
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	ПОПОВУ ОЛЕГУ ОЛЕГОВИЧУ
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	мОрОзОвА Е. о.
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	морозова е. о.
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	морозова е. о.
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	пОпОв оЛеГ ОлЕгОвИч
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	пОпОвУ ОлЕгУ ОлЕгОвИчУ
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	попов о. о.
case	PER	agency_0010__m1337_case	adversarial	mut:case		LEAK	попов олег олегович
case	PER	agency_0010__m1337_case	adversarial	mut:case		hidden	ПОПОВ О. О.
case	PER	agency_0010__m1337_case	adversarial	mut:case		hidden	ПОПОВЫМ ОЛЕГОМ ОЛЕГОВИЧЕМ
case	PER	cession_0005__m2718_case	adversarial	mut:case		LEAK	НИКИТИНА Е. П.
case	PER	cession_0005__m2718_case	adversarial	mut:case		LEAK	никитина екатерина павловна
case	PER	cession_0005__m2718_case	adversarial	mut:case		LEAK	никитина екатерина павловна
case	PER	cession_0005__m2718_case	adversarial	mut:case		LEAK	никитина екатерина павловна
case	PER	cession_0005__m2718_case	adversarial	mut:case		LEAK	никитин а ек⁠атерина павловна
case	PER	cession_0006	adversarial	lowercase		LEAK	павловым владимиром егоровичем
case	PER	cession_0006__m2718_digit_spaces	adversarial	lowercase		LEAK	павловым владимиром егоровичем
case	PER	cession_0007	adversarial	uppercase		LEAK	ТЕР-ПЕТРОСЯН АРТУР АШОТОВИЧ
case	PER	cession_0007__m1337_digit_spaces	adversarial	uppercase		LEAK	ТЕР-ПЕТРОСЯН АРТУР АШОТОВИЧ
case	PER	cession_0008	adversarial	alternating_case		LEAK	иВаНоВа Мария
case	PER	cession_0008__m1337_digit_spaces	adversarial	alternating_case		LEAK	иВаНоВа Мария
case	PER	labor_0001	adversarial	uppercase		hidden	МАКАРОВ ВЛАДИМИР ВЛАДИМИРОВИЧ
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ ПАВЕЛ ЮРЬЕВИЧ
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ ПАВЕЛ ЮРЬЕВИЧ
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	ЛEБЕДЕВА ЕKAТЕРИНА ПAВЛОВНА
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	ЛЕБЕДЕВА Е. П.
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	ЛЕБЕДЕВОЙ ЕКАТЕРИНЫ ПАВЛОВНЫ
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	воробьёв п. ю.
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	воробьёву павлу юрьевичу
case	PER	labor_0003__m2718_case	adversarial	mut:case		LEAK	лебедева екатерина павловна
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	БЕЛЯЕВ ВЛАДИМИР ОЛЕГОВИЧ
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	БЕЛЯЕВ ВЛАДИМИР ОЛЕГОВИЧ
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	БЕЛЯЕВ\nВЛАДИМИР ОЛЕГОВИЧ
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	БЕЛЯ​ЕВ  ВЛАДИМИР ОЛЕГОВИЧ
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	СМИРНОВА М. Н.
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	бЕлЯеВу вЛаДиМиРу оЛеГоВиЧу
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	беляев в. о.
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	кузнецова татьяна алексеевна
case	PER	labor_0004__m2718_case	adversarial	mut:case		LEAK	смирнова м. н.
case	PER	labor_0005	adversarial	lowercase		LEAK	фёдоровым владимиром михайловичем
case	PER	labor_0005__m1337_digit_spaces	adversarial	lowercase		LEAK	фёдоровым владимиром михайловичем
case	PER	labor_0006	adversarial	uppercase		hidden	ИВАНОВ ЕГОР ОЛЕГОВИЧ
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	ОРЛОВ АЛЕКСЕЙ ЮРЬЕВИЧ
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	ОРЛОВ АЛЕКСЕЙ ЮРЬЕВИЧ
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	е. о. иванов
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	иВаНоВ Е. о.
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	иванов егор олегович
case	PER	labor_0006__m1337_case	adversarial	mut:case		LEAK	иванова егора олеговича
case	PER	labor_0006__m1337_case	adversarial	mut:case		hidden	орлов а. ю.
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	ДЕ‍ ВРИС ЙОХАН
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	Й. ДЕ ВРИС
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	ЛИ В.
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	ЛИ ВЭЙ
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	ЛИ\nВЭЙ
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	дЕ ВрИс й.
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	де вриса йохана
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	лИ ВэЙ
case	PER	labor_0009__m2718_case	adversarial	mut:case		LEAK	лИ ВэЮ
case	PER	labor_0012	adversarial	lowercase		LEAK	ивановой ириной юрьевной
case	PER	labor_0012__m2718_digit_spaces	adversarial	lowercase		LEAK	ивановой ириной юрьевной
case	PER	lease_0003__m2718_case	adversarial	mut:case		LEAK	ГУСЕВА ЛЮДМИЛА МИХАЙЛОВНА
case	PER	lease_0003__m2718_case	adversarial	mut:case		LEAK	гУсЕвА Л. м.
case	PER	lease_0003__m2718_case	adversarial	mut:case		LEAK	гУсЕвА ЛюДмИлА МиХаЙлОвНа
case	PER	lease_0003__m2718_case	adversarial	mut:case		LEAK	гусевой людмиле михайловне
case	PER	lease_0003__m2718_case	adversarial	mut:case		LEAK	соколовой ирины алексеевны
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	кУзНеЦоВа т. С.
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	кУзНеЦоВа тАтЬяНа сЕрГеЕвНа
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	кузнецова татьяна сергеевна
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	мАкАрОв р. Д.
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	мАкАрОв рОмАн дМиТрИеВиЧ
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	мАкАрОвУ РоМаНу дМиТрИеВиЧу
case	PER	lease_0006__m2718_case	adversarial	mut:case		LEAK	макаров роман дмитриевич
case	PER	lease_0006__m2718_case	adversarial	mut:case		hidden	КУЗНЕЦОВА ТАТЬЯНА СЕРГЕЕВНА
case	PER	lease_0006__m2718_case	adversarial	mut:case		hidden	ПЕТРОВА НАТАЛЬЯ ИВАНОВНА
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	НОВИКОВ АНДРЕЙ ВЛАДИМИРОВИЧ
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	НОВИКОВ АНДРЕЙ ВЛАДИМИРОВИЧ
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	белка а. м.
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	белкы анны михайловны
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	новиков а. в.
case	PER	lease_0009__m2718_case	adversarial	mut:case		LEAK	новикову андрею владимировичу
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	МОРОЗОВ СЕРГЕЙ АНДРЕЕВИЧ
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	зАйЦеВ М. о.
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	м. о. зайцев
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	мОрО​ЗоВ СеРгЕй аН ДрЕеВиЧ
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	морозов сергей андреевич
case	PER	loan_0003__m2718_case	adversarial	mut:case		LEAK	морозову сергею андреевичу
case	PER	loan_0003__m2718_case	adversarial	mut:case		hidden	ЗАЙЦЕВА МИХАИЛА ОЛЕГОВИЧА
case	PER	loan_0005	adversarial	uppercase		LEAK	КИСЕЛЬ ЕГОР ПЕТРОВИЧ
case	PER	loan_0005__m1337_digit_spaces	adversarial	uppercase		LEAK	КИСЕЛЬ ЕГОР ПЕТРОВИЧ
case	PER	loan_0006	adversarial	alternating_case		LEAK	иВаНоВ Владимир
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	ВОР­ОБЬЁВ РО МАН ПАВЛОВИЧ
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ РОМАН ПАВЛОВИЧ
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ РОМАН ПАВЛОВИЧ
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	ПАВЛОВ Н. В.
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	вОрОбЬёВ Р. п.
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	воробьёв р. п.
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	воробьёву роману павловичу
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	н. в. павлов
case	PER	loan_0008__m2718_case	adversarial	mut:case		LEAK	павлова николая владимировича
case	PER	loan_0008__m2718_case	adversarial	mut:case		hidden	тИтОвА НаТаЛьЯ ОлЕгОвНа
case	PER	loan_0009	adversarial	lowercase		LEAK	кузнецовой дарьей владимировной
case	PER	loan_0009__m2718_case	adversarial	mut:case		LEAK	МАКАРОВА ПАВЛА ИВАНОВИЧА
case	PER	loan_0009__m2718_case	adversarial	mut:case		LEAK	кУзНеЦоВа д. В.
case	PER	loan_0009__m2718_case	adversarial	mut:case		LEAK	кузнецова дарья владимировна
case	PER	loan_0009__m2718_case	adversarial	mut:case		LEAK	макаров п. и.
case	PER	sale_0001	adversarial	uppercase		LEAK	МАКСИМОВА АННА МИХАЙЛОВНА
case	PER	sale_0001__m1337_digit_spaces	adversarial	uppercase		LEAK	МАКСИМОВА АННА МИХАЙЛОВНА
case	PER	sale_0002	adversarial	alternating_case		hidden	тИтОвА Анна
case	PER	sale_0002__m2718_cell_split	adversarial	alternating_case		hidden	тИтОвА Анна
case	PER	sale_0005	adversarial	lowercase		LEAK	ивановой юлией сергеевной
case	PER	sale_0005__m2718_case	adversarial	lowercase		LEAK	ивановой юлией сергеевной
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	ИВАНОВА ЮЛИЯ СЕРГЕЕВНА
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	ИВАНОВОЙ ЮЛИИ СЕРГЕЕВНЕ
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	ЛЕБЕДЕВА ВЕРА ПЕТРОВНА
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	в. п. лебедева
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	лЕбЕдЕвОй вЕрЫ ПеТрОвНы
case	PER	sale_0005__m2718_case	adversarial	mut:case		LEAK	лебедева в. п.
case	PER	sale_0006	adversarial	uppercase		hidden	ЛЕБЕДЕВА ОЛЬГА ПАВЛОВНА
case	PER	sale_0006__m2718_digit_spaces	adversarial	uppercase		hidden	ЛЕБЕДЕВА ОЛЬГА ПАВЛОВНА
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ П. А.
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	ВОРОБЬЁВ ПЁТР АЛЕКСЕЕВИЧ
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	вОрОбЬёВ ПёТр аЛеКсЕеВиЧ
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	вОрОбЬёВ ПёТр аЛеКсЕеВиЧ
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	воробьёву петру алексеевичу
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	е. н. новиков
case	PER	sale_0011__m2718_case	adversarial	mut:case		LEAK	новиков е. н.
case	PER	sale_0011__m2718_case	adversarial	mut:case		hidden	НОВИКОВА ЕГОРА НИКОЛАЕВИЧА
case	PER	sale_0012	adversarial	lowercase		LEAK	смирновым иваном павловичем
case	PER	sale_0012__m2718_case	adversarial	lowercase		LEAK	смирновым иваном павловичем
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	СМИРНОВ И. П.
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	СМИРНОВ ИВАН ПАВЛОВИЧ
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	СМИРНОВА ИВАНА ПАВЛОВИЧА
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	СМИРНОВУ ИВАНУ ПАВЛОВИЧУ
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	сМиРнОв и. П.
case	PER	sale_0012__m2718_case	adversarial	mut:case		LEAK	смирнову ивану павловичу
case	PER	sale_0012__m2718_case	adversarial	mut:case		hidden	КОМАРОВ ПЁТР ЕГОРОВИЧ
case	PER	sale_0012__m2718_case	adversarial	mut:case		hidden	СИДОРОВ Д. В.
case	PER	sale_0012__m2718_case	adversarial	mut:case		hidden	СИДОРОВ Д. В.
case	PER	sale_0012__m2718_case	adversarial	mut:case		hidden	сИдОрОв дМиТрИй вЛаДиМиРоВиЧ
case	PER	sale_0013	adversarial	uppercase		LEAK	ЕРШОВА ИРИНА ИВАНОВНА
case	PER	sale_0013__m1337_digit_spaces	adversarial	uppercase		LEAK	ЕРШОВА ИРИНА ИВАНОВНА
case	PER	sale_0014	adversarial	alternating_case		LEAK	пЕтРоВа Мария
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	пЕтРоВа мАрИя дМиТрИеВнА
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	петрова мария
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	петрова мария дмитриевна
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	петровой марии дмитриевне
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	сЕмЁнО­В‍ нИкОлАй юРьЕвИч
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	сЕмЁнОв нИкОлАй юРьЕвИч
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	семёнов н. ю.
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	семёнов николай юрьевич
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	семёнов николай юрьевич
case	PER	sale_0014__m1337_case	adversarial	mut:case		LEAK	семёнов николай юрьевич
case	PER	sale_0014__m1337_case	adversarial	mut:case		hidden	бЕлОв аРтЁм пАвЛоВиЧ
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	КИСЕЛЁВ О. Н.
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	КИСЕЛЯ АНДРЕЯ СЕРГЕЕВИЧА
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	кИсЕлЯ АнДрЕя сЕрГеЕвИчА
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	кисель а. с.
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	о. н. киселёв
case	PER	services_0003__m2718_case	adversarial	mut:case		LEAK	сидорова дарья алексеевна
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	СИНИЦА А. А.
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	СИНИЦЫ АННЫ АЛЕКСЕЕВНЫ
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	а. а. синица
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	гУсЕвОй мАрИи мИхАйЛоВнЫ
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	гусева м. м.
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	м. м. гусева
case	PER	services_0009__m2718_case	adversarial	mut:case		LEAK	синицы анны алексеевны
case	PER	services_0012__m2718_case	adversarial	mut:case		LEAK	СЕМЁНОВ М. О.
case	PER	services_0012__m2718_case	adversarial	mut:case		LEAK	СЕМЁНОВ МИХАИЛ ОЛЕГОВИЧ
case	PER	services_0012__m2718_case	adversarial	mut:case		LEAK	сЕмЁнОв м. О.
case	PER	services_0012__m2718_case	adversarial	mut:case		LEAK	сЕмЁнОвУ МиХаИлУ ОлЕгОвИчУ
case	PER	services_0012__m2718_case	adversarial	mut:case		LEAK	смирнов юрий петрович
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	ГУСЕВА ЕЛЕНА ЮРЬЕВНА
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	ГУСЕВА ЕЛЕНА ЮРЬЕВНА
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	вОрОбЬёВу юРиЮ ПаВлОвИчУ
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	воробьёв ю. п.
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	воробьёв юрий павлович
case	PER	services_0014__m1337_case	adversarial	mut:case		LEAK	гусева елена юрьевна
case	PER	supply_0001__m2718_case	adversarial	mut:case		LEAK	ЗАЙЦЕВОЙ МАРИИ МИХАЙЛОВНЫ
case	PER	supply_0001__m2718_case	adversarial	mut:case		LEAK	зайцева мария михайловна
case	PER	supply_0001__m2718_case	adversarial	mut:case		LEAK	лЕбЕдЕвА О. н.
case	PER	supply_0001__m2718_case	adversarial	mut:case		hidden	ЛЕБЕДЕВОЙ ОЛЬГИ НИКОЛАЕВНЫ
case	PER	supply_0001__m2718_case	adversarial	mut:case		hidden	ЛЕБЕДЕВОЙ ОЛЬГИ НИКОЛАЕВНЫ
case	PER	supply_0007__m2718_case	adversarial	mut:case		LEAK	ИВАНОВА О. О.
case	PER	supply_0007__m2718_case	adversarial	mut:case		LEAK	СМИРНОВА О. О.
case	PER	supply_0007__m2718_case	adversarial	mut:case		LEAK	СМИРНОВОЙ ОЛЬГИ ОЛЕГОВНЫ
case	PER	supply_0007__m2718_case	adversarial	mut:case		LEAK	смирновой ольги олеговны
case	PER	supply_0012__m2718_case	adversarial	mut:case		LEAK	СЕМЁНОВ АЛЕКСЕЙ ДМИТРИЕВИЧ
case	PER	supply_0012__m2718_case	adversarial	mut:case		LEAK	СЕМЁНОВУ АЛЕКСЕЮ ДМИТРИЕВИЧУ
case	PER	supply_0012__m2718_case	adversarial	mut:case		LEAK	новикова анна андреевна
case	PER	supply_0012__m2718_case	adversarial	mut:case		LEAK	новикова анна андреевна
case	PER	supply_0012__m2718_case	adversarial	mut:case		LEAK	семёнов а. д.
case	PER	supply_0013__m2718_case	adversarial	mut:case		LEAK	орлов с. е.
case	PER	supply_0013__m2718_case	adversarial	mut:case		LEAK	орлова сергея егоровича
case	PER	supply_0013__m2718_case	adversarial	mut:case		LEAK	пИрОгОвА Ю. и.
case	PER	supply_0013__m2718_case	adversarial	mut:case		LEAK	ю. и. пирогова
case	PER	supply_0013__m2718_case	adversarial	mut:case		hidden	пИрОгОвОй юЛиИ ИвАнОвНы
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	КРЫЛОВА Е. П.
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	КРЫЛОВОЙ ЕКАТЕРИНЕ ПЕТРОВНЕ
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	ПАВЛОВ Е. И.
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	кРыЛоВа е. П.
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	кРыЛоВа е. П.
case	PER	supply_0014__m1337_case	adversarial	mut:case		LEAK	крылова екатерина петровна
case	PER	supply_0014__m1337_case	adversarial	mut:case		hidden	пАвЛоВа еГоРа иВаНоВиЧа
case	PER	works_0003__m2718_case	adversarial	mut:case		LEAK	БЕЛКА Ю‍ЛИЯ⁠ ОЛЕГОВНА
case	PER	works_0003__m2718_case	adversarial	mut:case		LEAK	белка юлия олеговна
case	PER	works_0003__m2718_case	adversarial	mut:case		LEAK	белка юлия олеговна
case	PER	works_0003__m2718_case	adversarial	mut:case		LEAK	белке юлии олеговне
case	PER	works_0003__m2718_case	adversarial	mut:case		LEAK	о. ю. петрова
case	PER	works_0003__m2718_case	adversarial	mut:case		hidden	пЕтРоВоЙ ОлЬгИ ЮрЬеВнЫ
case	PER	works_0005	adversarial	uppercase		hidden	МАКСИМОВА МАРИЯ НИКОЛАЕВНА
case	PER	works_0005__m1337_digit_spaces	adversarial	uppercase		hidden	МАКСИМОВА МАРИЯ НИКОЛАЕВНА
case	PER	works_0009	adversarial	lowercase		LEAK	морозовой анной николаевной
case	PER	works_0009__m2718_case	adversarial	mut:case		LEAK	МОРОЗОВА АННА НИКОЛАЕВНА
